Number,SAT,Pairs,Evals,Backtracks,Runtime
1150,True,43,2,0,25.167262077331543
1151,True,42,16,7,29.563347578048706
1152,True,44,30,14,36.538630962371826
1153,True,44,18,7,27.682546377182007
1154,True,45,13,5,27.48581886291504
1155,True,50,35,16,31.35631227493286
1156,True,48,11,4,27.155790328979492
1157,True,48,37,18,33.958110094070435
1158,True,41,12,4,28.107773303985596
1159,True,46,20,9,30.705727338790894
1160,True,42,4,0,24.88625931739807
1161,True,46,8,3,26.33652114868164
1162,True,47,17,8,29.88494062423706
1163,True,51,11,4,26.657007217407227
1164,True,46,52,25,36.65117430686951
1165,True,45,17,8,31.560791969299316
1166,True,43,7,2,26.013474464416504
1167,True,43,21,9,30.865690231323242
1168,True,47,10,4,27.343344688415527
1169,True,49,21,9,28.34544038772583
1170,True,38,88,42,42.11297869682312
1171,True,40,51,25,36.07043766975403
1172,True,43,11,4,28.519941091537476
1173,True,43,23,10,33.02693438529968
1174,True,50,12,4,28.889233589172363
1175,True,47,14,6,28.21535348892212
1176,True,43,6,2,25.212848663330078
1177,True,46,9,3,27.510307550430298
1178,True,46,6,1,25.702489376068115
1179,True,43,11,4,29.131283044815063
1180,True,51,11,3,26.785024642944336
1181,True,48,22,10,29.205740690231323
1182,True,47,9,3,26.808088779449463
1183,True,43,30,14,29.707008123397827
1184,True,49,49,24,37.23272967338562
1185,True,51,22,10,30.858612537384033
1186,True,48,142,70,64.24915266036987
1187,True,40,28,13,33.32002592086792
1188,True,45,13,6,29.43629550933838
1189,True,48,24,11,28.68419098854065
1190,True,48,31,15,34.56867957115173
1191,True,52,13,4,26.790499925613403
1192,True,43,14,6,27.65984845161438
1193,True,46,80,39,39.065141677856445
1194,True,46,11,4,27.061896085739136
1195,True,46,7,2,26.450051307678223
1196,True,43,19,9,31.473639965057373
1197,True,46,30,13,30.383476972579956
1198,True,46,4,0,26.36290144920349
1199,True,44,6,1,26.5945827960968
1200,True,52,23,11,29.389262676239014
1201,True,44,13,4,25.941141366958618
1202,True,45,15,5,27.6732759475708
1203,True,44,57,28,42.182305335998535
1204,True,49,6,0,25.869704723358154
1205,True,44,22,10,29.728407382965088
1206,True,45,58,28,41.986828565597534
1207,True,46,7,0,26.142715215682983
1208,True,48,5,1,26.116071462631226
1209,True,44,4,0,25.811152458190918
1210,True,45,10,4,28.1659152507782
1211,True,44,72,35,45.14936089515686
1212,True,44,33,16,34.76815485954285
1213,True,48,22,9,29.534726858139038
1214,True,47,21,9,31.87439775466919
1215,True,43,20,9,30.978209495544434
1216,True,46,8,2,25.97019648551941
